mem: 94087967428538, val: 224
mem: 94087967428537, val: 79
mem: 94087967428536, val: 200
mem: 94087967428535, val: 0
mem: 94087967428534, val: 0
mem: 94087967428533, val: 85
mem: 94087967428532, val: 146
mem: 94087967428531, val: 143
mem: 94087967428530, val: 72
mem: 94087967428529, val: 26
mem: 94087967428528, val: 64
mem: 94087967428527, val: 0
mem: 94087967428526, val: 0
mem: 94087967428525, val: 0
mem: 94087967428524, val: 0
mem: 94087967428523, val: 0
mem: 94087967428522, val: 0
mem: 94087967428521, val: 0
mem: 94087967428520, val: 0
mem: 94087967428519, val: 0
mem: 94087967428518, val: 0
mem: 94087967428517, val: 0
mem: 94087967428516, val: 0
mem: 94087967428515, val: 0
mem: 94087967428514, val: 0
mem: 94087967428513, val: 0
mem: 94087967428512, val: 3
mem: 94087967428511, val: 0
mem: 94087967428510, val: 0
mem: 94087967428509, val: 85
mem: 94087967428508, val: 146
mem: 94087967428507, val: 143
mem: 94087967428506, val: 73
mem: 94087967428505, val: 15
mem: 94087967428504, val: 184
mem: 94087967428503, val: 0
mem: 94087967428502, val: 0
mem: 94087967428501, val: 0
mem: 94087967428500, val: 0
mem: 94087967428499, val: 0
mem: 94087967428498, val: 0
mem: 94087967428497, val: 0
mem: 94087967428496, val: 0
mem: 94087967428495, val: 0
mem: 94087967428494, val: 0
mem: 94087967428493, val: 0
mem: 94087967428492, val: 0
mem: 94087967428491, val: 0
mem: 94087967428490, val: 0
mem: 94087967428489, val: 0
mem: 94087967428488, val: 3
mem: 94087967428487, val: 0
mem: 94087967428486, val: 0
mem: 94087967428485, val: 0
mem: 94087967428484, val: 0
mem: 94087967428483, val: 0
mem: 94087967428482, val: 0
mem: 94087967428481, val: 2
mem: 94087967428480, val: 240
mem: 94087967428479, val: 0
mem: 94087967428478, val: 0
mem: 94087967428477, val: 0
mem: 94087967428476, val: 0
mem: 94087967428475, val: 0
mem: 94087967428474, val: 0
mem: 94087967428473, val: 0
mem: 94087967428472, val: 1
mem: 94087967428471, val: 0
mem: 94087967428470, val: 0
mem: 94087967428469, val: 0
mem: 94087967428468, val: 0
mem: 94087967428467, val: 0
mem: 94087967428466, val: 0
mem: 94087967428465, val: 2
mem: 94087967428464, val: 224
mem: 94087967428463, val: 0
mem: 94087967428462, val: 0
mem: 94087967428461, val: 0
mem: 94087967428460, val: 0
mem: 94087967428459, val: 0
mem: 94087967428458, val: 0
mem: 94087967428457, val: 0
mem: 94087967428456, val: 0
mem: 94087967428455, val: 0
mem: 94087967428454, val: 0
mem: 94087967428453, val: 0
mem: 94087967428452, val: 0
mem: 94087967428451, val: 0
mem: 94087967428450, val: 0
mem: 94087967428449, val: 4
mem: 94087967428448, val: 0
mem: 94087967428447, val: 0
mem: 94087967428446, val: 0
mem: 94087967428445, val: 0
mem: 94087967428444, val: 0
mem: 94087967428443, val: 0
mem: 94087967428442, val: 0
mem: 94087967428441, val: 0
mem: 94087967428440, val: 0
mem: 94087967428439, val: 0
mem: 94087967428438, val: 0
mem: 94087967428437, val: 0
mem: 94087967428436, val: 0
mem: 94087967428435, val: 0
mem: 94087967428434, val: 0
mem: 94087967428433, val: 0
mem: 94087967428432, val: 0
mem: 94087967428431, val: 0
mem: 94087967428430, val: 0
mem: 94087967428429, val: 85
mem: 94087967428428, val: 146
mem: 94087967428427, val: 143
mem: 94087967428426, val: 73
mem: 94087967428425, val: 14
mem: 94087967428424, val: 40
mem: 94087967428423, val: 0
mem: 94087967428422, val: 0
mem: 94087967428421, val: 0
mem: 94087967428420, val: 7
mem: 94087967428419, val: 0
mem: 94087967428418, val: 0
mem: 94087967428417, val: 0
mem: 94087967428416, val: 0
mem: 94087967428415, val: 0
mem: 94087967428414, val: 0
mem: 94087967428413, val: 0
mem: 94087967428412, val: 7
mem: 94087967428411, val: 0
mem: 94087967428410, val: 0
mem: 94087967428409, val: 0
mem: 94087967428408, val: 0
mem: 94087967428407, val: 0
mem: 94087967428406, val: 0
mem: 94087967428405, val: 85
mem: 94087967428404, val: 146
mem: 94087967428403, val: 143
mem: 94087967428402, val: 72
mem: 94087967428401, val: 50
mem: 94087967428400, val: 136
mem: 94087967428399, val: 0
mem: 94087967428398, val: 0
mem: 94087967428397, val: 0
mem: 94087967428396, val: 0
mem: 94087967428395, val: 0
mem: 94087967428394, val: 0
mem: 94087967428393, val: 0
mem: 94087967428392, val: 9
mem: 94087967428391, val: 0
mem: 94087967428390, val: 0
mem: 94087967428389, val: 0
mem: 94087967428388, val: 0
mem: 94087967428387, val: 0
mem: 94087967428386, val: 0
mem: 94087967428385, val: 4
mem: 94087967428384, val: 0
mem: 94087967428383, val: 0
mem: 94087967428382, val: 0
mem: 94087967428381, val: 0
mem: 94087967428380, val: 0
mem: 94087967428379, val: 0
mem: 94087967428378, val: 0
mem: 94087967428377, val: 0
mem: 94087967428376, val: 0
mem: 94087967428375, val: 0
mem: 94087967428374, val: 0
mem: 94087967428373, val: 0
mem: 94087967428372, val: 0
mem: 94087967428371, val: 0
mem: 94087967428370, val: 0
mem: 94087967428369, val: 4
mem: 94087967428368, val: 0
mem: 94087967428367, val: 0
mem: 94087967428366, val: 0
mem: 94087967428365, val: 0
mem: 94087967428364, val: 0
mem: 94087967428363, val: 0
mem: 94087967428362, val: 0
mem: 94087967428361, val: 0
mem: 94087967428360, val: 0
mem: 94087967428359, val: 0
mem: 94087967428358, val: 0
mem: 94087967428357, val: 0
mem: 94087967428356, val: 0
mem: 94087967428355, val: 0
mem: 94087967428354, val: 0
mem: 94087967428353, val: 2
mem: 94087967428352, val: 112
mem: 94087967428351, val: 0
mem: 94087967428350, val: 0
mem: 94087967428349, val: 0
mem: 94087967428348, val: 0
mem: 94087967428347, val: 0
mem: 94087967428346, val: 0
mem: 94087967428345, val: 0
mem: 94087967428344, val: 1
mem: 94087967428343, val: 0
mem: 94087967428342, val: 0
mem: 94087967428341, val: 85
mem: 94087967428340, val: 146
mem: 94087967428339, val: 143
mem: 94087967428338, val: 73
mem: 94087967428337, val: 15
mem: 94087967428336, val: 184
mem: 94087967428335, val: 0
mem: 94087967428334, val: 0
mem: 94087967428333, val: 0
mem: 94087967428332, val: 0
mem: 94087967428331, val: 0
mem: 94087967428330, val: 0
mem: 94087967428329, val: 2
mem: 94087967428328, val: 88
mem: 94087967428327, val: 0
mem: 94087967428326, val: 0
mem: 94087967428325, val: 85
mem: 94087967428324, val: 146
mem: 94087967428323, val: 143
mem: 94087967428322, val: 224
mem: 94087967428321, val: 78
mem: 94087967428320, val: 224
mem: 94087967428319, val: 0
mem: 94087967428318, val: 0
mem: 94087967428317, val: 85
mem: 94087967428316, val: 146
mem: 94087967428315, val: 143
mem: 94087967428314, val: 224
mem: 94087967428313, val: 78
mem: 94087967428312, val: 216
mem: 94087967428311, val: 0
mem: 94087967428310, val: 0
mem: 94087967428309, val: 85
